Roadway Name,Roadway Name og,From,To,Direction,average_volume
2 Avenue,2 AVENUE,EAST 59 STREET,EAST 60 STREET,SB,3788.833333
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,BOSTON ROAD,CROTONA PARKWAY,EB,3787.583333
Bronx River Parkway,BRONX RIVER PARKWAY,MORRIS PARK AVENUE,BRONXDALE AVENUE,SB,3785.125
Van Wyck Expressway,Van Wyck Expressway,105 Avenue,LibertyAvenue,SB,3779.375
Brooklyn Queens Expressway,BROOKLYN QUEENS EXPRESSWAY,RICHARDSON STREET,LEONARD STREET,WB,3772.916667
2 Avenue,2 AVENUE,EAST 59 STREET,EAST 60 STREET,SB,3767.75
Long Island Expressway,LONG ISLAND EXPRESSWAY,81 STREET,82 STREET,WB,3763
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,RENWICK AVENUE,SLOSSON AVENUE,WB,3759.791667
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,RENWICK AVENUE,SLOSSON AVENUE,EB,3753.666667
Cross Bronx Expressway,Cross Bronx Expressway,Crotona Parkway,Daly Avenue,EB,3749.833333
Brooklyn Queens Expressway,BROOKLYN QUEENS EXPRESSWAY,RICHARDSON STREET,LEONARD STREET,WB,3747.791667
Brooklyn Queens Expressway,BROOKLYN QUEENS EXPRESSWAY,RICHARDSON STREET,LEONARD STREET,WB,3742.333333
Belt Parkway,BELT PARKWAY,181 STREET,182 STREET,WB,3734.708333
F D R Drive,F D R DRIVE,74 STREET,76 STREET,NB,3715.25
Cross Bronx Expressway,Cross Bronx Expressway,Crotona Parkway,Daly Avenue,EB,3715.083333
Grand Central Parkway,GRAND CENTRAL PARKWAY,64 AVENUE PEDESTRIAN OVERPASS,64 ROAD,NB,3703.791667
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,RENWICK AVENUE,SLOSSON AVENUE,EB,3700.958333
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,RENWICK AVENUE,SLOSSON AVENUE,WB,3695
Long Island Expressway,LONG ISLAND EXPRESSWAY,81 STREET,82 STREET,WB,3691.208333
2 Avenue,2 AVENUE,EAST 27 STREET,EAST 28 STREET,SB,3684.541667
Cross Bronx Expressway,Cross Bronx Expressway,Morris Avenue,Eastburn Avenue,WB,3681.291667
Brooklyn Queens Expressway,BROOKLYN QUEENS EXPRESSWAY,RICHARDSON STREET,LEONARD STREET,WB,3677.291667
2 Avenue,2 AVENUE,EAST 27 STREET,EAST 28 STREET,SB,3675.208333
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,RENWICK AVENUE,SLOSSON AVENUE,WB,3668.75
2 Avenue,2 AVENUE,EAST 27 STREET,EAST 28 STREET,SB,3664.583333
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,RENWICK AVENUE,SLOSSON AVENUE,EB,3664.5
Staten Island Expressway,STATEN ISLAND EXPRESSWAY,RENWICK AVENUE,SLOSSON AVENUE,WB,3661.208333
2 Avenue,2 AVENUE,EAST 27 STREET,EAST 28 STREET,SB,3651.75
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,BOSTON ROAD,CROTONA PARKWAY,EB,3639.25
2 Avenue,2 AVENUE,EAST 27 STREET,EAST 28 STREET,SB,3635.75
Brooklyn Queens Expressway,BROOKLYN QUEENS EXPRESSWAY,RICHARDSON STREET,LEONARD STREET,WB,3627.416667
Long Island Expressway,LONG ISLAND EXPRESSWAY,81 STREET,82 STREET,WB,3626.458333
Belt Parkway,BELT PARKWAY,181 STREET,182 STREET,WB,3620.125
Grand Central Parkway,GRAND CENTRAL PARKWAY,64 AVENUE PEDESTRIAN OVERPASS,64 ROAD,NB,3612.333333
Cross Bronx Expressway,Cross Bronx Expressway,Crotona Parkway,Daly Avenue,EB,3596.5
Cross Bronx Expressway,CROSS BRONX EXPRESSWAY,BOSTON ROAD,CROTONA PARKWAY,EB,3595.875
