Roadway Name,Roadway Name og,From,To,Direction,average_volume
Adam C Powell Boulevard,ADAM C POWELL BOULEVARD,West 122nd Street,West 123rd Street,SB,216.875
Bedford Avenue,BEDFORD AVENUE,Quentin Road,Avenue R,SB,216.875
Provost Avenue,PROVOST AVENUE,East 233rd Street,East Kingsbridge Road,SB,216.875
Remsen Avenue,REMSEN AVENUE,Stillwell Pl,Avenue L,SB,216.875
Empire Avenue,EMPIRE AVENUE,SAGE STREET,BALSAM COURT,NB,216.8333333
Rockaway Avenue,Rockaway Avenue,Marion Street,Sumpter Street,SB,216.8333333
New York Avenue,NEW YORK AVENUE,LENOX ROAD,LINDEN BOULEVARD,SB,216.8333333
Cropsey Avenue,CROPSEY AVENUE,BAY 22TH STREET,BAY 23RD STREET,EB,216.8333333
Cypress Avenue,CYPRESS AVENUE,SUYDAM STREET,ALLEY,WB,216.7916667
Ocean Terrace,Ocean Terrace,Dead End,Milford Dr,NB,216.7916667
Victory Boulevard,VICTORY BOULEVARD,Cypress Avenue,Marx Street,EB,216.7916667
Victory Boulevard,VICTORY BOULEVARD,Cypress Avenue,Marx Street,WB,216.7916667
120 Avenue,120 Avenue,191 Street,192 Street,EB,216.75
Caldwell Avenue,CALDWELL AVENUE,71 STREET,74 STREET,WB,216.75
Morris Avenue,MORRIS AVENUE,CONCOURSE VILLAGE EAST,EAST 156 STREET,NB,216.75
5 Avenue,5 AVENUE,DOUGLASS STREET,DE GRAW STREET,SB,216.75
West 57 Street,West 57 Street,5 Avenue,6 Avenue,EB,216.75
37 Street,37 STREET,12 AVENUE,13 AVENUE,EB,216.7083333
47 Avenue,47 Avenue,190 Street,189 Street,WB,216.7083333
Ocean Terrace,OCEAN TERRACE,WITTEMAN PLACE,MILFORD DRIVE,SB,216.7083333
31 Street,31 Street,34 Avenue,35 Avenue,SB,216.7083333
Hylan Blvd.,Hylan Blvd.,Fingerboard St.,Dead End,SB,216.7083333
Post Avenue,POST AVENUE,GREENLEAF AVENUE,DRIPROCK STREET,EB,216.6666667
Woodside Avenue,WOODSIDE AVENUE,BARNETT AVENUE,39 AVENUE,NB,216.6666667
Myrtle Ave,MYRTLE AVE,THROOP AVE,TOMPKINS AVE,WB,216.625
Fulton Street,FULTON STREET,CLAVER PLACE,FRANKLIN AVENUE,WB,216.625
48St Street,48ST STREET,Northern Boulevard,37th Ave,NB,216.625
Bradley Avenue,BRADLEY AVENUE,HOLDEN BOULEVARD,QUEEN STREET,NB,216.5833333
Central Ave,CENTRAL AVE,SAGE ST,VIRGINIA ST,EB,216.5833333
Ave P,AVE P,W 10th ST,W 11th ST,WB,216.5416667
Nostrand Ave,NOSTRAND AVE,AVE P,QUENTIN RD,SB,216.5416667
Foster Road,FOSTER ROAD,RATHBUN AVENUE,RAMONA AVENUE,NB,216.5416667
Jerome Avenue,JEROME AVENUE,WEST FORDHAM ROAD,EAST 184 STREET,NB,216.5416667
Avenue J,Avenue J,East 12 Street,East 13 Street,WB,216.5416667
State Street,STATE STREET,Bridge Street,Battery Place,NB,216.5416667
63 Drive,63 DRIVE,WETHEROLE STREET,BOOTH STREET,NB,216.5
Kings Hwy,KINGS HWY,W 11th ST,W 12th ST,WB,216.5
Myrtle Ave,MYRTLE AVE,CLASSON AVE,TAAFFE AVE,EB,216.5
Graham Avenue,GRAHAM AVENUE,AINSLIE STREET,DEVOE STREET,EB,216.5
East 241 Street,EAST 241 STREET,CARPENTER AVENUE,MATILDA AVENUE,WB,216.5
Columbia Street,COLUMBIA STREET,KANE STREET,IRVING STREET,SB,216.5
Vernon Boulevard,Vernon Boulevard,46 Road,47 Avenue,SB,216.5
Walker Street,WALKER STREET,Cortlandt Alley,Lafayette Street,EB,216.5
Bedford Park Boulevard,Bedford Park Boulevard,Grand Concourse,Valentine Avenue,EB,216.4583333
Park Avenue,PARK AVENUE,Ryerson Street,Grand Avenue,EB,216.4583333
West 57Th Street,WEST 57th STREET,5th Avenue,6th Avenue,WB,216.4583333
Riverside Drive,Riverside Drive,West 147 Street,West 146 Street,SB,216.4166667
Brook Avenue,BROOK AVENUE,EAST 153 STREET,BERGEN AVENUE,SB,216.4166667
Amboy Road,AMBOY ROAD,WAIMER PLACE,BAMBERGER LANE,WB,216.4166667
West 29 Street,West 29 Street,5 Avenue,Broadway,WB,216.4166667
Ave U,AVE U,E 16th ST,E 17th ST,WB,216.375
Stanley Avenue,Stanley Avenue,108 Street,Snediker Avenue,EB,216.375
Bloomingdale Road,BLOOMINGDALE ROAD,CLAY PIT ROAD,WOODROW ROAD,SB,216.375
65 Street,65 Street,4 Avenue,5 Avenue,NB,216.375
Myrtle Avenue,Myrtle Avenue,Throop Avenue,Tompkins Avenue,WB,216.375
Steinway St,Steinway St,35 Ave,36 Ave,SB,216.375
Linden Boulevard,LINDEN BOULEVARD,198th Street,199th Street,EB,216.375
5 Avenue,5 Avenue,30 Street,31 Street,SB,216.2916667
Avenue N,Avenue N,Schenectady Avenue,East 48 Street,EB,216.2916667
Kent Avenue,KENT AVENUE,NORTH 1 STREET,GRAND STREET,NB,216.25
Bruckner Boulevard,BRUCKNER BOULEVARD,EAST 144 STREET,EAST 149 STREET,EB,216.25
Fingerboard Road,FINGERBOARD ROAD,CLEVELAND PLACE,COLUMBIA AVENUE,WB,216.25
Springfield Boulevard,SPRINGFIELD BOULEVARD,64 AVENUE,67 AVENUE,NB,216.25
126 Street,126 Street,37 Avenue,38 Avenue,SB,216.25
Avenue U,Avenue U,East 56 Street,Pearson Street,NB,216.25
Crotona Avenue,Crotona Avenue,Claremont Parkway,Crotona Avenue North,SB,216.25
Hicks Street,Hicks Street,Kane Street,De Graw Street,NB,216.25
Southern Boulevard,SOUTHERN BOULEVARD,Bronx Park Road,East Fordham Road,NB,216.25
St Nicholas Avenue,ST NICHOLAS AVENUE,West 176th Street,West 175th Street,NB,216.25
Yellowstone Boulevard,YELLOWSTONE BOULEVARD,Alderton Street,Woodhaven Boulevard,NB,216.25
Bruckner Boulevard,BRUCKNER BOULEVARD,EAST 144 STREET,EAST 149 STREET,EB,216.2083333
Eastchester Road,Eastchester Road,Givan Avenue,Tillotson Avenue,SB,216.2083333
Springfield Blvd,Springfield Blvd,115 Rd,116 Ave,NB,216.2083333
35Th Avenue,35th AVENUE,202nd Street,203rd Street,WB,216.2083333
Sedgwick Avenue,SEDGWICK AVENUE,West 183rd Street,West Fordham Road,NB,216.2083333
Braddock Avenue,BRADDOCK AVENUE,BILLINGS STREET,90 AVENUE,WB,216.1666667
Grand Concourse Service Road,GRAND CONCOURSE SERVICE ROAD,187 STREET,188 STREET,SB,216.1666667
Madison Street,Madison Street,Oliver Street,James Street,EB,216.1666667
Union Street,UNION STREET,39th Avenue,Roosevelt Avenue,SB,216.1666667
Brook Avenue,BROOK AVENUE,EAST 153 STREET,BERGEN AVENUE,SB,216.125
Melrose Avenue,Melrose Avenue,East 153 Street,East 154 Street,NB,216.125
East 161 Street,East 161 Street,Grand Concourse,Dead End,WB,216.125
82 Street,82 Street,Northern Boulevard,34 Avenue,SB,216.0833333
5 Avenue,5 Avenue,Douglass Street,De Graw Street,SB,216.0833333
Neptune Ave,NEPTUNE AVE,SHEEPSHEAD BAY RD,W 12th ST,WB,216.0416667
Union Street,Union Street,7 Avenue,8 Avenue,EB,216.0416667
Steinway St,Steinway St,35 Ave,36 Ave,SB,216.0416667
Richmond Ter,Richmond Ter,Houseman Ave,Wright Ave,WB,216
5 Avenue,5 AVENUE,24 STREET,36 STREET,NB,216
21 Street,21 Street,45 Road,46 Avenue,NB,216
East 4 Street,East 4 Street,Broadway,Lafayette Street,EB,215.9583333
Kings Highway,Kings Highway,East 15 Street,East 16 Street,WB,215.9583333
Ave U,AVE U,E 16th ST,E 17th ST,WB,215.9166667
West 181 Street,West 181 Street,St. Nicholas Avenue,Wadsworth Avenue,WB,215.9166667
East 169 Street,East 169 Street,Tinton Avenue,Union Avenue,NB,215.9166667
Bronxwood Avenue,BRONXWOOD AVENUE,EAST 215 STREET,EAST 214 STREET,SB,215.9166667
Bloomingdale Road,BLOOMINGDALE ROAD,MARISA CIRCLE,WOODROW ROAD,NB,215.875
Little Clove Road,Little Clove Road,Clove Road,Oneida Avenue,WB,215.875
West End Avenue,West End Avenue,West 73 Street,West 74 Street,NB,215.875
Pitman Avenue,PITMAN AVENUE,WILDER AVENUE,MURDOCK AVENUE,EB,215.875
39 Avenue,39 AVENUE,CLEARVIEW EXPRESSWAY SR WEST,CLEARVIEW EXPRESSWAY,EB,215.875
Crotona Avenue,Crotona Avenue,Claremont Parkway,Crotona Avenue North,NB,215.875
West Broadway,West Broadway,Spring Street,Prince Street,SB,215.875
Southern Boulevard,SOUTHERN BOULEVARD,EAST 149 STREET,AVENUE ST JOHN,WB,215.8333333
Ogden Avenue,OGDEN AVENUE,WEST 171 STREET,DR MARTIN LUTHER KING JR BOULEVARD,SB,215.8333333
Bedford Avenue,BEDFORD AVENUE,AVENUE R,AVENUE S,SB,215.8333333
Bedford Park Boulevard,BEDFORD PARK BOULEVARD,Grand Concourse,Briggs Avenue,NB,215.8333333
Jewel Avenue,JEWEL AVENUE,137th Street,138th Street,EB,215.8333333
Braddock Ave,BRADDOCK AVE,221 PLACE,221 STREET,WB,215.7916667
Bronxwood Avenue,BRONXWOOD AVENUE,EAST 215 STREET,EAST 214 STREET,SB,215.7916667
26 Avenue,26 Avenue,201 Street,202 Street,EB,215.7916667
East 163 Street,East 163 Street,Rogers Place,Intervale Avenue,EB,215.7916667
South Avenue,SOUTH AVENUE,Lois Lane,Fahy Avenue,NB,215.7916667
East Kingsbridge Road,EAST KINGSBRIDGE ROAD,GRAND CONCOURSE,GRAND CONCOURSE,SB,215.75
Avenue H,Avenue H,Troy Avenue,East 45 Street,EB,215.75
Eastchester Road,Eastchester Road,Givan Avenue,Tillotson Avenue,SB,215.7083333
Bedford Park Boulevard,Bedford Park Boulevard,Grand Concourse,Valentine Avenue,EB,215.7083333
120 Avenue,120 AVENUE,191th Street,192th Street,EB,215.7083333
Albany Avenue,ALBANY AVENUE,Midwood Street,Rutland Road,SB,215.7083333
West End Avenue,WEST END AVENUE,West 73rd Street,West 74th Street,SB,215.7083333
Linden Blvd,LINDEN BLVD,198 STREET,199 STREET,EB,215.6666667
Hylan Boulevard,HYLAN BOULEVARD,FINGERBOARD ROAD,WEST FINGERBOARD ROAD,SB,215.6666667
Grand Concourse,Grand Concourse,187 Street,184 Street,SB,215.6666667
Jamaica Ave,JAMAICA AVE,101st ST,102nd ST,EB,215.625
Arthur Avenue,ARTHUR AVENUE,EAST FORDHAM ROAD,EAST 189 STREET,SB,215.625
East 241 Street,EAST 241 STREET,CARPENTER AVENUE,MATILDA AVENUE,EB,215.625
Avenue U,AVENUE U,EAST 16 STREET,EAST 17 STREET,EB,215.625
Vernon Boulevard,Vernon Boulevard,46 Road,47 Avenue,NB,215.625
Dyre Avenue,Dyre Avenue,Lustre Street,Kingsbridge Road,SB,215.625
Bedford Avenue,Bedford Avenue,North 1 Street,Grand Street,NB,215.625
Jamaica Ave,JAMAICA AVE,101st ST,102nd ST,EB,215.5833333
Amsterdam Avenue,AMSTERDAM AVENUE,West 73rd Street,West 74th Street,NB,215.5833333
Vernon Boulevard,Vernon Boulevard,46 Road,47 Avenue,NB,215.5833333
Richmond Ter,Richmond Ter,Houseman Ave,Wright Ave,WB,215.5416667
St. Nicholas Avenue,St. Nicholas Avenue,West 175 Street,West 176 Street,SB,215.5416667
34 Avenue,34 Avenue,92 Street,93 Street,EB,215.5416667
East 161 Street,EAST 161 STREET,GRAND CONCOURSE,SHERIDAN AVENUE,EB,215.5416667
120 Avenue,120 Avenue,191 Street,192 Street,NB,215.5416667
Gerard Avenue,Gerard Avenue,East 150 Street,East 151 Street,NB,215.5416667
White Plains Road,White Plains Road,St Ouen Street,Penfield Street,NB,215.5416667
Amboy Road,AMBOY ROAD,Preston Avenue,Bamberger Lane,EB,215.5416667
Frederick Douglass Boulevard,FREDERICK DOUGLASS BOULEVARD,West 123rd Street,West 124th Street,NB,215.5416667
Myrtle Avenue,MYRTLE AVENUE,74 STREET,75 STREET,WB,215.5
Ave P,AVE P,W 10th ST,W 11th ST,WB,215.5
Post Avenue,POST AVENUE,GREENLEAF AVENUE,DRIPROCK STREET,EB,215.5
Caldwell Avenue,CALDWELL AVENUE,71 STREET,74 STREET,WB,215.5
Queens Boulevard,QUEENS BOULEVARD,Union Turnpike,78th Avenue,EB,215.5
86Th St,86th ST,19th AVE,20th AVE,WB,215.4583333
Little Neck Parkway,Little Neck Parkway,Bates Road,Bates Road,NB,215.4583333
Sanford Avenue,Sanford Avenue,147 Street,149 Street,WB,215.4583333
Avenue U,AVENUE U,EAST 16 STREET,EAST 17 STREET,EB,215.4583333
Brook Avenue,Brook Avenue,East 152 Street,East 153 Street,SB,215.4583333
Frederick Douglass Boulevard,Frederick Douglass Boulevard,West 123 Street,West 124 Street,SB,215.4583333
Throop Avenue,THROOP AVENUE,Jefferson Avenue,Hancock Street,NB,215.4583333
Bronx River Avenue,Bronx River Avenue,174 Street,Cross Bronx Expressway,SB,215.4166667
West 181 Street,West 181 Street,St. Nicholas Avenue,Wadsworth Avenue,WB,215.4166667
Shore Road,Shore Road,Orchard Beach Road,Roosevelt Avenue,NB,215.375
Little Neck Parkway,Little Neck Parkway,Bates Road,Bates Road,NB,215.375
Caldwell Avenue,Caldwell Avenue,72 Street,74 Street,WB,215.375
Little Neck Parkway,Little Neck Parkway,Dead End,87 Terrace,NB,215.375
Richmond Ter,Richmond Ter,Houseman Ave,Wright Ave,WB,215.3333333
5 Avenue,5 AVENUE,DE GRAW STREET,DOUGLASS STREET,NB,215.3333333
White Plains Road,WHITE PLAINS ROAD,EAST 215 STREET,EAST 216 STREET,NB,215.3333333
Bradley Avenue,BRADLEY AVENUE,HOLDEN BOULEVARD,QUEEN STREET,NB,215.3333333
East 133 Street,EAST 133 STREET,ST ANNS PLACE,CYPRESS AVENUE,WB,215.3333333
Steinway St,Steinway St,35 Ave,36 Ave,NB,215.3333333
West Gun Hill Road,WEST GUN HILL ROAD,MOSHOLU PARKWAY,WEST MOSHOLU PARKWAY NORTH,EB,215.2916667
120 Avenue,120 Avenue,191 Street,192 Street,WB,215.2916667
Fulton Street,Fulton Street,Classon Avenue,Claver Place,EB,215.2916667
Glen Street,GLEN STREET,Lois Lane,Fahy Avenue,NB,215.2916667
Madison Street,Madison Street,Oliver Street,James Street,EB,215.25
Sanford Avenue,Sanford Avenue,147 Street,149 Street,WB,215.25
East 167 Street,East 167 Street,Dead End,Dead end,WB,215.25
Metropolitan Avenue,METROPOLITAN AVENUE,Trotting Course Lane,Selfridge Street,EB,215.25
Cortelyou Road,CORTELYOU ROAD,EAST 11 STREET,EAST 12 STREET,EB,215.2083333
Provost Avenue,Provost Avenue,East 233 Street,Kingsbridge Road,SB,215.2083333
Avenue N,Avenue N,Schenectady Avenue,East 48 Street,EB,215.2083333
Caton Avenue,Caton Avenue,Westminster Road,Argyle Road,WB,215.2083333
Hollis Court Blvd,HOLLIS COURT BLVD,189 STREET,47 AVE,EB,215.1666667
Glen Street,GLEN STREET,BLOOMFIELD AVENUE,FAHY AVE,NB,215.1666667
Lydig Avenue,Lydig Avenue,Tomlinson Avenue,Willamsbridge Road,WB,215.1666667
Springfield Boulevard,SPRINGFIELD BOULEVARD,64 AVENUE,67 AVENUE,NB,215.1666667
Avenue J,Avenue J,East 12 Street,East 13 Street,EB,215.1666667
35Th Avenue,35th AVENUE,202nd Street,203rd Street,WB,215.1666667
Kings Highway,KINGS HIGHWAY,Avenue J,Avenue I,NB,215.1666667
West End Avenue,WEST END AVENUE,West 98th Street,West 99th Street,NB,215.125
Foster Road,FOSTER ROAD,RAMONA AVENUE,RATHBUN AVENUE,NB,215.0833333
Jerome Avenue,JEROME AVENUE,WEST FORDHAM ROAD,EAST 184 STREET,NB,215.0833333
Martling Avenue,MARTLING AVENUE,BROOKSIDE AVENUE,BROOKS POND PLACE,SB,215.0833333
63Rd Drive,63rd DRIVE,Austin Street,Wetherole Street,NB,215.0833333
West End Avenue,WEST END AVENUE,West 73rd Street,West 74th Street,SB,215.0833333
Central Ave,CENTRAL AVE,SAGE ST,VIRGINIA ST,WB,215.0416667
63Rd Drive,63rd DRIVE,Austin Street,Wetherole Street,NB,215.0416667
Dr M L King Jr Boulevard,DR M L KING JR BOULEVARD,WEST 183 STREET,WEST FORDHAM ROAD,NB,215
Linden Blvd,LINDEN BLVD,198 STREET,199 STREET,WB,215
Kings Highway,Kings Highway,East 15 Street,East 16 Street,EB,214.9583333
Bradley Avenue,BRADLEY AVENUE,Holden Boulevard,Queen Street,SB,214.9583333
Shore Pkwy North,Shore Pkwy North,Bay 40 St,25 Ave,EB,214.9166667
East 161 Street,EAST 161 STREET,GRAND CONCOURSE,SHERIDAN AVENUE,EB,214.9166667
31 Street,31 STREET,34 AVENUE,35 AVENUE,SB,214.875
New Utrecht Avenue,New Utrecht Avenue,53 Street,52 Street,SB,214.875
Linden Boulevard,LINDEN BOULEVARD,198th Street,199th Street,WB,214.875
Sedgwick Avenue,Sedgwick Avenue,West 183 Street,West Fordham Road,NB,214.8333333
West 145 Street,West 145 Street,St. Nicholas Avenue,Edgecomb Avenue,EB,214.8333333
Myrtle Avenue,MYRTLE AVENUE,ST NICHOLAS AVENUE,MADISON STREET,NB,214.8333333
Clinton Street,CLINTON STREET,SACKETT STREET,UNION STREET,NB,214.8333333
Jewel Avenue,JEWEL AVENUE,137th Street,138th Street,EB,214.8333333
31 Street,31 STREET,34 AVENUE,35 AVENUE,SB,214.7916667
Glenwood Road,GLENWOOD ROAD,EAST 59 STREET,RALPH AVENUE,EB,214.7916667
Avenue U,AVENUE U,EAST 16 STREET,EAST 17 STREET,WB,214.7916667
Broadway,Broadway,West 148 Street,West 149 Street,NB,214.7916667
Jamaica Ave,JAMAICA AVE,101st ST,102nd ST,EB,214.75
Bronx Boulevard,BRONX BOULEVARD,EAST 219 STREET,EAST 216 STREET,NB,214.75
Union Street,Union Street,7 Avenue,8 Avenue,EB,214.75
Lafayette Street,LAFAYETTE STREET,East 4th Street,Astor Place,NB,214.75
Ave Z,AVE Z,E 15th ST,E 16th ST,WB,214.7083333
Pitman Avenue,PITMAN AVENUE,WILDER AVENUE,MURDOCK AVENUE,EB,214.7083333
West Broadway,West Broadway,Spring Street,Prince Street,SB,214.7083333
Grand Concourse,GRAND CONCOURSE,East 184th Street,East 187th Street,SB,214.7083333
Morris Avenue,MORRIS AVENUE,Mt Eden Parkway,East 173rd Street,SB,214.7083333
5 Avenue,5 AVENUE,DE GRAW STREET,DOUGLASS STREET,SB,214.6666667
Rockaway Avenue,Rockaway Avenue,Marion Street,Sumpter Street,SB,214.6666667
35 Avenue,35 AVENUE,203 STREET,204 STREET,WB,214.6666667
73 Place Slip Lane,73 PLACE SLIP LANE,COOPER AVENUE,CENTRAL AVENUE,NB,214.6666667
St Nicholas Ave,St Nicholas Ave,Broadway / 7 Ave Line,Broadway / 7 Ave Line,SB,214.6666667
West Gun Hill Road,WEST GUN HILL ROAD,MOSHOLU PARKWAY,WEST MOSHOLU PARKWAY NORTH,WB,214.625
Ft Washington Avenue,FT WASHINGTON AVENUE,WEST 172 STREET,WEST 173 STREET,NB,214.625
Springfield Boulevard,SPRINGFIELD BOULEVARD,89 AVENUE,90 AVENUE,SB,214.625
Arthur Kill Road,ARTHUR KILL ROAD,TOKEN STREET,CROSSFIELD AVENUE,WB,214.625
Union Street,UNION STREET,37 AVE,39 AVE,SB,214.5833333
Braddock Ave,BRADDOCK AVE,221 PLACE,221 STREET,WB,214.5833333
Kings Highway,Kings Highway,West 12 Street,West 11 Street,WB,214.5833333
Arthur Kill Road,ARTHUR KILL ROAD,CARLYLE GREEN,KRISSA COURT,EB,214.5416667
3Rd Avenue,3rd AVENUE,Senator Street,6th Street,NB,214.5416667
63Rd Drive,63rd DRIVE,Austin Street,Wetherole Street,NB,214.5416667
East Tremont Avenue,East Tremont Avenue,Anthony Avenue,Monroe Avenue,WB,214.5
Springfield Boulevard,SPRINGFIELD BOULEVARD,89 AVENUE,90 AVENUE,NB,214.5
Steinway St,Steinway St,35 Ave,36 Ave,SB,214.5
Clarkson Avenue,CLARKSON AVENUE,NEW YORK AVENUE,EAST 37 STREET,EB,214.4583333
New Utrecht Avenue,NEW UTRECHT AVENUE,52nd Street,53rd Street,SB,214.4583333
Arthur Avenue,ARTHUR AVENUE,EAST FORDHAM ROAD,EAST 189 STREET,SB,214.4166667
East 161 Street,EAST 161 STREET,GRAND CONCOURSE,SHERIDAN AVENUE,EB,214.4166667
South Avenue,SOUTH AVENUE,Lois Lane,Fahy Avenue,NB,214.4166667
Southern Boulevard,Southern Boulevard,Jennings Street,East 172 Street,NB,214.375
Castleton Avenue,CASTLETON AVENUE,CLOVE ROAD,RECTOR STREET,EB,214.375
Broadway,BROADWAY,47 STREET,48 STREET,SB,214.375
60 Street,60 Street,18 Avenue,19 Avenue,WB,214.375
Sedgwick Avenue,SEDGWICK AVENUE,West 183rd Street,West Fordham Road,SB,214.375
Bedford Park Boulevard,BEDFORD PARK BOULEVARD,GRAND CONCOURSE,GRAND CONCOURSE,EB,214.3333333
Sedgwick Avenue,Sedgwick Avenue,West 167 Street,Cross Bronx Expressway,NB,214.3333333
Lafayette Avenue,Lafayette Avenue,Tompkins Avenue,Throop Avenue,EB,214.3333333
Jerome Avenue,JEROME AVENUE,213 STREET,212TH STREET,NB,214.3333333
Morris Avenue,MORRIS AVENUE,CONCOURSE VILLAGE EAST,EAST 156 STREET,NB,214.3333333
Fountain Avenue,Fountain Avenue,Dumont Avenue,Hegeman Avenue,NB,214.3333333
31St Street,31st STREET,34th Avenue,35th Avenue,SB,214.3333333
Bay St,Bay St,Congress St,Wave St,NB,214.3333333
Bronx Boulevard,BRONX BOULEVARD,EAST 219 STREET,EAST 216 STREET,NB,214.2916667
Van Cortlandt Avenue East,VAN CORTLANDT AVENUE EAST,ST GEORGE'S CRESCENT,EAST MOSHOLU PARKWAY SOUTH,WB,214.2916667
Myrtle Avenue,MYRTLE AVENUE,73 PLACE,74 STREET,WB,214.2916667
Jamaica Avenue,JAMAICA AVENUE,101 STREET,102 STREET,WB,214.2916667
Eastchester Road,Eastchester Road,East Gun Hill Road,Adee Avenue,SB,214.2916667
Broadway,Broadway,West 120 Street,West 121 Street,SB,214.2916667
Utopia Parkway,UTOPIA PARKWAY,65th Avenue,67th Avenue,SB,214.2916667
Jackson Avenue,JACKSON AVENUE,COURT SQUARE,44 DRIVE,EB,214.25
Bradley Avenue,BRADLEY AVENUE,HOLDEN BOULEVARD,QUEEN STREET,NB,214.25
Church Avenue,Church Avenue,East 94 Street,East 95 Street,SB,214.25
Mc Donald Avenue,Mc Donald Avenue,Avenue S,Avenue T,SB,214.25
West Gun Hill Road,WEST GUN HILL ROAD,MOSHOLU PARKWAY,WEST MOSHOLU PARKWAY NORTH,EB,214.2083333
East 165 Street,EAST 165 STREET,CARROLL PLACE,GRAND CONCOURSE,EB,214.2083333
Ralph Avenue,Ralph Avenue,McDonough Street,Decatur Street,SB,214.2083333
35 Avenue,35 AVENUE,203 STREET,202 STREET,EB,214.2083333
Cypress Avenue,CYPRESS AVENUE,SUYDAM STREET,HART STREET,EB,214.2083333
Avenue N,AVENUE N,SCHENECTADY AVENUE,EAST 48 STREET,WB,214.2083333
60 Street,60 Street,11 Avenue,12 Avenue,EB,214.2083333
Southern Boulevard,Southern Boulevard,163 Street,Aldus Street,NB,214.1666667
Pitman Avenue,PITMAN AVENUE,WILDER AVENUE,MURDOCK AVENUE,EB,214.1666667
Eastchester Road,EASTCHESTER ROAD,Givan Avenue,Tillotson Avenue,SB,214.1666667
Park Avenue South,PARK AVENUE SOUTH,East 26th Street,East 27th Street,SB,214.1666667
Dekalb Avenue,Dekalb Avenue,Irving Avenue,Wyckoff Avenue,NB,214.125
Francis Lewis Boulevard,FRANCIS LEWIS BOULEVARD,115th Avenue,115th Road,NB,214.125
River Avenue,River Avenue,East 150 Street,East 151 Street,NB,214.0833333
Washington Avenue,WASHINGTON AVENUE,GATES AVENUE,FULTON STREET,SB,214.0833333
Myrtle Avenue,Myrtle Avenue,Classon Avenue,Taaffe Place,WB,214.0833333
Church Avenue,Church Avenue,Argyle Road,Rugby Road,WB,214.0833333
Union Street,UNION STREET,HOYT STREET,BOND STREET,EB,214.0416667
Springfield Blvd,Springfield Blvd,89 Ave,90 Ave,NB,214.0416667
Eastchester Road,Eastchester Road,Givan Avenue,Tillotson Avenue,NB,214
Riverside Drive,Riverside Drive,West 116 Street,119 Street,NB,214
23Rd Avenue,23rd Avenue,83th Street,85th Street,WB,214
120 Avenue,120 Avenue,191 Street,192 Street,SB,214
Stillwellavenue,StillwellAvenue,Avenue W,28 Avenue,NB,214
Myrtle Avenue,Myrtle Avenue,Throop Avenue,Tompkins Avenue,EB,214
Myrtle Avenue,Myrtle Avenue,72 Street,72 Place,WB,214
Bradley Avenue,BRADLEY AVENUE,Holden Boulevard,Queen Street,SB,214
East 144Th Street,EAST 144th STREET,Grand Concourse,A J Griffin Place,WB,214
West End Avenue,WEST END AVENUE,West 61th Street,West 62nd Street,NB,214
Myrtle Avenue,MYRTLE AVENUE,ST NICHOLAS AVENUE,MADISON STREET,SB,213.9583333
Jerome Avenue,JEROME AVENUE,WEST FORDHAM ROAD,EAST 184 STREET,NB,213.9583333
Washington Avenue,WASHINGTON AVENUE,GATES AVENUE,FULTON STREET,SB,213.9583333
58 Street,58 STREET,55 DRIVE,56 DRIVE,SB,213.9583333
120 Avenue,120 Avenue,191 Street,192 Street,SB,213.9583333
Avenue P,Avenue P,West 10 Street,West 9 Street,EB,213.9583333
Mc Donald Avenue,Mc Donald Avenue,Elmwood Avenue,47 Street,EB,213.9583333
18 Avenue,18 AVENUE,72 STREET,73 STREET,SB,213.9166667
Henry Hudson Parkway E,HENRY HUDSON PARKWAY E,JOHNSON AVENUE,WEST 239 STREET,EB,213.9166667
Broadway,Broadway,Beaver Street,Morris Street,SB,213.9166667
Caton Avenue,Caton Avenue,Westminster Road,Argyle Road,EB,213.9166667
Crotona Avenue,CROTONA AVENUE,Claremont Parkway,Crotona Park North,NB,213.9166667
Jerome Avenue,JEROME AVENUE,Jerome Avenue Line,Jerome Avenue Line,EB,213.9166667
Zerega Avenue,ZEREGA AVENUE,BRUCKNER BOULEVARD,BRUCKNER EXPRESSWAY,NB,213.875
Kingston Avenue,KINGSTON AVENUE,ST JOHNS PLACE,LINCOLN PLACE,NB,213.875
Broadway,BROADWAY,47 STREET,48 STREET,SB,213.875
Park Avenue,Park Avenue,Washington Avenue,Hall Street,EB,213.875
Ave H,Ave H,Troy Ave,E 45 St,EB,213.8333333
Myrtle Ave,MYRTLE AVE,THROOP AVE,TOMPKINS AVE,WB,213.8333333
Fulton Street,FULTON STREET,CLAVER PLACE,FRANKLIN AVENUE,WB,213.8333333
Main Street,Main Street,Reeves Avenue,Gravett Road,NB,213.8333333
Jerome Avenue,Jerome Avenue,Mosholu Parkway Main Road,West Mosholu Parkway North Service Road,SB,213.8333333
Main Street,MAIN STREET,63rd Avenue,Gravett Road,SB,213.8333333
48 Street,48 STREET,54 ROAD,55 AVENUE,NB,213.7916667
Sedgwick Avenue,Sedgwick Avenue,West 183 Street,West Fordham Road,NB,213.7916667
St. Nicholas Avenue,St. Nicholas Avenue,West 175 Street,West 176 Street,SB,213.7916667
West 145 Street,West 145 Street,St. Nicholas Avenue,Edgecomb Avenue,EB,213.7916667
Washington Avenue,WASHINGTON AVENUE,GATES AVENUE,FULTON STREET,NB,213.7916667
Avenue N,AVENUE N,SCHENECTADY AVENUE,EAST 48 STREET,EB,213.7916667
